Country,Births.attended.by.skilled.health.personnel....,maternal_mortality,lower_bound,upper_bound,year,income
Gambia,NA,1030,672,1490,1990,900
Georgia,NA,37,30,44,2000,2700
Georgia,NA,34,29,40,1990,5210
Germany,NA,8,7,9,2000,25510
Germany,NA,11,10,13,1990,18750
Ghana,NA,467,342,645,2000,1720
Ghana,NA,634,436,911,1990,1200
Greece,NA,4,3,4,2000,18340
Greece,NA,5,4,6,1990,12950
Grenada,NA,29,21,38,2000,7210
Grenada,NA,41,30,53,1990,4580
Guatemala,NA,178,170,186,2000,4950
Guatemala,NA,205,194,217,1990,3370
Guinea,45.3,NA,NA,NA,2012,1140
Guinea,NA,976,787,1200,2000,880
Guinea,NA,1040,782,1360,1990,690
Guinea-Bissau,NA,800,417,1450,2000,560
Guinea-Bissau,NA,907,512,1540,1990,930
Guyana,NA,210,185,241,2000,3730
Guyana,NA,171,141,197,1990,1450
Haiti,37.3,NA,NA,NA,2012,1640
Honduras,82.8,NA,NA,NA,2011,4110
Honduras,82.8,NA,NA,NA,2012,4190
Honduras,NA,133,115,154,2000,2680
Honduras,NA,272,256,290,1990,1900
Hungary,99.1,NA,NA,NA,2010,20140
Hungary,NA,15,12,18,2000,11310
Hungary,NA,24,21,28,1990,8540
Iceland,NA,5,3,7,2000,28070
Iceland,NA,7,5,9,1990,20580
India,74.4,NA,NA,NA,2013,5350
India,NA,374,324,437,2000,2040
India,NA,556,445,685,1990,1160
Indonesia,87.4,NA,NA,NA,2013,9260
Indonesia,NA,265,213,324,2000,4010
Indonesia,NA,446,347,564,1990,2660
Iran (Islamic Republic of),NA,51,43,60,2000,8490
Iran (Islamic Republic of),NA,123,98,171,1990,5620
Iraq,90.9,NA,NA,NA,2011,13620
Ireland,NA,9,8,11,2000,24930
Ireland,NA,11,9,13,1990,12050
Israel,NA,8,7,9,2000,21480
Israel,NA,11,10,13,1990,13100
Italy,99.9,NA,NA,NA,2013,34100
Italy,NA,5,4,6,2000,25590
Italy,NA,8,7,9,1990,17360
Jamaica,98.6,NA,NA,NA,2011,8170
Jamaica,NA,89,79,100,2000,6210
Jamaica,NA,79,64,97,1990,4330
Japan,NA,10,9,11,2000,26260
Japan,NA,14,12,15,1990,19370
Jordan,99.6,NA,NA,NA,2012,11390
Jordan,NA,77,66,92,2000,6180
Jordan,NA,110,88,140,1990,4340
Kazakhstan,99.5,NA,NA,NA,2010,16710
Kazakhstan,99.5,NA,NA,NA,2011,17710
Kazakhstan,NA,65,57,75,2000,7170
Kenya,NA,759,615,947,2000,1420
Kenya,NA,687,518,899,1990,1250
Kiribati,79.8,NA,NA,NA,2009,2430
Kiribati,NA,166,113,241,2000,2320
Kiribati,NA,234,169,330,1990,1600
Kuwait,NA,7,6,8,2000,75580
Kyrgyzstan,NA,74,64,84,2000,1550
Kyrgyzstan,NA,80,71,90,1990,2250
Lao People's Democratic Republic,40.1,NA,NA,NA,2011,3840
Lao People's Democratic Republic,40.1,NA,NA,NA,2012,4170
Lao People's Democratic Republic,NA,546,417,720,2000,1770
Lao People's Democratic Republic,NA,905,638,1230,1990,1050
Latvia,NA,30,25,35,2000,8050
Latvia,NA,48,41,57,1990,7810
Lebanon,98.2,NA,NA,NA,2004,10250
Lebanon,NA,42,30,59,2000,9970
Lebanon,NA,74,50,109,1990,6110
Lesotho,NA,649,492,861,2000,1710
Lesotho,NA,629,422,908,1990,1410
Liberia,61.1,NA,NA,NA,2013,790
Liberia,NA,1270,972,1620,2000,360
Lithuania,100.0,NA,NA,NA,2006,16430
Lithuania,NA,16,14,20,2000,8480
Lithuania,NA,29,24,34,1990,9300
Luxembourg,99.9,NA,NA,NA,2009,52190
Luxembourg,NA,13,10,16,2000,46800
Luxembourg,NA,12,9,15,1990,28820
Madagascar,44.3,NA,NA,NA,2012,1340
Madagascar,44.3,NA,NA,NA,2013,1350
Madagascar,NA,536,441,657,2000,1130
Madagascar,NA,778,625,963,1990,1040
Malawi,87.4,NA,NA,NA,2013,750
Malawi,NA,890,703,1140,2000,490
Malawi,NA,957,726,1240,1990,340
Malaysia,NA,58,50,66,2000,11440
Malaysia,NA,79,57,99,1990,6300
Maldives,95.5,NA,NA,NA,2012,9310
Mali,57.1,NA,NA,NA,2012,1550
Mali,57.1,NA,NA,NA,2013,1540
Mali,NA,834,682,997,2000,990
Mali,NA,1010,802,1260,1990,710
Malta,99.9,NA,NA,NA,2013,28030
Malta,NA,15,11,20,2000,18590
Malta,NA,13,10,17,1990,11740
Marshall Islands,90.1,NA,NA,NA,2011,4260
Mauritania,65.1,NA,NA,NA,2011,2610
Mauritania,NA,813,596,1100,2000,1760
Mauritania,NA,859,566,1230,1990,1350
Mauritius,NA,40,33,49,2000,8950
Mauritius,NA,81,68,95,1990,4860
Mexico,NA,77,75,78,2000,9990
Mexico,NA,90,88,92,1990,5800
Micronesia (Federated States of),100.0,NA,NA,NA,2009,3330
Micronesia (Federated States of),NA,153,77,298,2000,2580
Mongolia,98.9,NA,NA,NA,2013,8810
Mongolia,NA,161,140,186,2000,3090
Mongolia,NA,186,144,239,1990,2740
Montenegro,99.0,NA,NA,NA,2013,14600
Montenegro,NA,11,7,17,2000,6880
Morocco,73.6,NA,NA,NA,2011,6490
Morocco,NA,221,186,279,2000,3420
Morocco,NA,317,241,387,1990,2550
Mozambique,54.3,NA,NA,NA,2011,910
Mozambique,NA,915,706,1160,2000,410
Mozambique,NA,1390,992,1880,1990,260
Namibia,88.2,NA,NA,NA,2013,9590
Namibia,NA,352,275,453,2000,4930
Namibia,NA,338,250,449,1990,3780
Nepal,NA,548,412,713,2000,1260
Nepal,NA,901,683,1200,1990,810
Netherlands,NA,14,13,15,2000,30070
Netherlands,NA,12,10,13,1990,17490
New Zealand,NA,12,10,14,2000,20090
New Zealand,NA,18,16,21,1990,14200
Nicaragua,88.0,NA,NA,NA,2011,4110
Nicaragua,88.0,NA,NA,NA,2012,4240
Nicaragua,NA,202,174,234,2000,2620
Nicaragua,NA,173,142,210,1990,1920
Niger,29.3,NA,NA,NA,2012,880
Niger,NA,794,639,996,2000,610
Niger,NA,873,691,1090,1990,590
Nigeria,35.2,NA,NA,NA,2013,5360
Nigeria,NA,1170,866,1520,2000,1940
Nigeria,NA,1350,893,1820,1990,1770
Norway,NA,7,6,8,2000,35690
Norway,NA,7,6,8,1990,17370
Oman,NA,20,18,24,2000,29010
Oman,NA,30,24,38,1990,18490
Pakistan,52.1,NA,NA,NA,2012,4670
Pakistan,52.1,NA,NA,NA,2013,4920
Pakistan,NA,306,208,446,2000,2640
Pakistan,NA,431,288,656,1990,2000
Panama,91.4,NA,NA,NA,2013,19290
Panama,NA,82,72,92,2000,7480
Panama,NA,102,86,119,1990,4600
Papua New Guinea,43.0,NA,NA,NA,2013,2430
Papua New Guinea,NA,342,177,682,2000,1380
Papua New Guinea,NA,470,265,843,1990,1000
Paraguay,95.7,NA,NA,NA,2013,7640
Paraguay,NA,158,142,176,2000,4140
Peru,NA,140,124,164,2000,5000
Peru,NA,251,207,325,1990,3290
Philippines,72.8,NA,NA,NA,2013,7820
Philippines,NA,124,110,138,2000,3950
Philippines,NA,152,126,175,1990,2550
Poland,NA,8,7,10,2000,10540
Portugal,NA,13,12,15,2000,17340
Portugal,NA,17,15,20,1990,10960
Qatar,100.0,NA,NA,NA,2012,121750
Republic of Korea,99.8,NA,NA,NA,2012,32150
Republic of Korea,NA,16,14,18,2000,17990
Republic of Korea,NA,21,19,24,1990,8600
Republic of Moldova,99.2,NA,NA,NA,2012,4710
Republic of Moldova,NA,49,43,56,2000,1870
Republic of Moldova,NA,51,45,58,1990,4160
Romania,98.7,NA,NA,NA,2008,15280
Romania,NA,51,44,58,2000,5670
Romania,NA,124,108,141,1990,5160
Russian Federation,99.6,NA,NA,NA,2008,19710
Russian Federation,NA,57,50,64,2000,6650
Russian Federation,NA,63,56,72,1990,8000
Rwanda,NA,1020,825,1230,2000,600
Rwanda,NA,1300,943,1690,1990,550
Saint Lucia,98.7,NA,NA,NA,2012,10260
Saint Lucia,NA,54,43,68,2000,7060
Saint Lucia,NA,45,36,57,1990,4720
Saint Vincent and the Grenadines,NA,74,58,92,2000,5720
Saint Vincent and the Grenadines,NA,58,47,75,1990,3500
Samoa,NA,93,48,181,2000,3080
Samoa,NA,156,84,279,1990,3090
Saudi Arabia,98.0,NA,NA,NA,2013,53780
Saudi Arabia,NA,23,16,34,2000,29490
Saudi Arabia,NA,46,32,67,1990,24390
Senegal,59.1,NA,NA,NA,2012,2180
Senegal,NA,488,382,626,2000,1490
Senegal,NA,540,425,688,1990,1160
Serbia,NA,17,13,21,2000,5790
Seychelles,99.0,NA,NA,NA,2012,22220
Sierra Leone,59.7,NA,NA,NA,2013,1750
Sierra Leone,NA,2650,1980,3460,2000,770
Sierra Leone,NA,2630,1780,3640,1990,770
Singapore,NA,18,15,22,2000,40610
Singapore,NA,12,10,15,1990,21930
Slovakia,99.5,NA,NA,NA,2008,22840
Slovakia,NA,8,7,9,2000,10960
Slovakia,NA,11,9,14,1990,7680
Slovenia,99.8,NA,NA,NA,2012,27610
Slovenia,NA,12,10,15,2000,17590
Solomon Islands,85.5,NA,NA,NA,2006,1540
Solomon Islands,85.5,NA,NA,NA,2007,1520
Solomon Islands,NA,214,146,321,2000,1360
Solomon Islands,NA,364,241,550,1990,790
South Africa,94.3,NA,NA,NA,2008,10960
South Africa,NA,85,83,87,2000,7370
South Africa,NA,108,74,159,1990,6190
South Sudan,17.2,NA,NA,NA,2010,2600
Spain,NA,5,5,6,2000,21160
Spain,NA,6,6,7,1990,13200
Sri Lanka,98.6,NA,NA,NA,2006,5640
Sri Lanka,98.6,NA,NA,NA,2007,6140
Sri Lanka,NA,57,52,63,2000,3850
Sri Lanka,NA,75,65,90,1990,2150
Sudan,19.9,NA,NA,NA,2010,2970
Sudan,NA,544,410,729,2000,1790
Sudan,NA,744,529,1050,1990,1110
Suriname,90.0,NA,NA,NA,2010,13730
Suriname,NA,259,219,312,2000,7810
Suriname,NA,127,104,155,1990,6700
Swaziland,NA,586,403,846,2000,4730
Swaziland,NA,635,390,995,1990,3660
Sweden,NA,5,5,6,2000,27750
Sweden,NA,8,7,9,1990,19010
Switzerland,NA,7,6,8,2000,34890
Switzerland,NA,8,7,10,1990,25940
Tajikistan,87.4,NA,NA,NA,2012,2340
Tajikistan,NA,68,58,80,2000,900
Tajikistan,NA,107,93,126,1990,2350
Thailand,99.6,NA,NA,NA,2012,13420
Thailand,NA,25,22,28,2000,6980
Thailand,NA,40,34,48,1990,4070
The former Yugoslav republic of Macedonia,NA,12,10,14,2000,5710
The former Yugoslav republic of Macedonia,NA,14,11,18,1990,5220
Timor-Leste,29.3,NA,NA,NA,2009,5100
Timor-Leste,29.3,NA,NA,NA,2010,6320
Timor-Leste,NA,694,517,925,2000,1640
Togo,44.6,NA,NA,NA,2013,1180
Togo,NA,491,367,649,2000,1010
Togo,NA,568,430,759,1990,860
Tonga,95.5,NA,NA,NA,2012,5370
Tonga,NA,97,50,190,2000,3700
Tonga,NA,75,41,132,1990,2370
Trinidad and Tobago,NA,62,54,70,2000,12980
Trinidad and Tobago,NA,90,80,103,1990,8040
Tunisia,73.6,NA,NA,NA,2011,9720
Tunisia,73.6,NA,NA,NA,2012,10470
Tunisia,NA,84,62,115,2000,5620
Tunisia,NA,131,96,175,1990,3420
Turkey,97.4,NA,NA,NA,2013,18760
Turkey,NA,79,59,108,2000,9180
Turkey,NA,97,63,149,1990,4360
Turkmenistan,99.5,NA,NA,NA,2005,5400
Turkmenistan,99.5,NA,NA,NA,2006,6370
Turkmenistan,NA,59,41,80,2000,3990
Tuvalu,93.1,NA,NA,NA,2007,5430
Uganda,58.0,NA,NA,NA,2011,1310
Uganda,NA,620,503,766,2000,690
Uganda,NA,687,544,877,1990,410
Ukraine,99.0,NA,NA,NA,2012,8670
Ukraine,NA,34,30,39,2000,3710
Ukraine,NA,46,41,52,1990,6960
United Arab Emirates,100.0,NA,NA,NA,2010,56260
United Kingdom of Great Britain and Northern Ireland,NA,12,11,12,2000,26280
United Kingdom of Great Britain and Northern Ireland,NA,10,9,11,1990,15770
United Republic of Tanzania,48.9,NA,NA,NA,2010,1500
United Republic of Tanzania,NA,842,671,1050,2000,820
United Republic of Tanzania,NA,997,775,1280,1990,640
United States of America,NA,12,12,12,2000,36930
United States of America,NA,12,11,13,1990,23730
Uruguay,98.2,NA,NA,NA,2013,18930
Uruguay,NA,31,26,36,2000,9960
Uruguay,NA,37,32,44,1990,6000
Uzbekistan,99.6,NA,NA,NA,2006,2950
Uzbekistan,NA,34,30,39,2000,1940
Vanuatu,89.4,NA,NA,NA,2013,2840
Vanuatu,NA,144,73,276,2000,2120
Vanuatu,NA,225,126,406,1990,1680
Venezuela (Bolivarian Republic of),NA,90,80,100,2000,11340
Venezuela (Bolivarian Republic of),NA,94,83,105,1990,9260
Viet Nam,93.8,NA,NA,NA,2013,5030
Viet Nam,NA,81,61,102,2000,2070
Viet Nam,NA,139,92,186,1990,910
Yemen,43.0,NA,NA,NA,2013,3820
Yemen,NA,440,337,573,2000,2930
Yemen,NA,547,389,736,1990,2210
Zambia,64.2,NA,NA,NA,2013,3070
Zambia,NA,541,441,666,2000,1590
Zambia,NA,577,449,757,1990,1500
Zimbabwe,NA,590,534,664,2000,1890
Zimbabwe,NA,440,351,523,1990,1590
